Change_Type,Package_Name,Old_Version,New_Version,Package_Type,PURL,Licenses,Target_Image,Analysis_Time
Added,Simple Launcher,,1.1.0.14,binary,,,python:latest,2025-10-30T07:57:42Z
Added,adduser,,3.152,deb,pkg:deb/debian/adduser@3.152?arch=all&distro=debian-13,GPL-2; GPL-2+,python:latest,2025-10-30T07:57:42Z
Added,apt,,3.0.3,deb,pkg:deb/debian/apt@3.0.3?arch=amd64&distro=debian-13,BSD-3-clause; Expat; GPL-2; GPL-2+; curl,python:latest,2025-10-30T07:57:42Z
Added,autoconf-2.72,,2.72-3.1,deb,pkg:deb/debian/autoconf@2.72-3.1?arch=all&distro=debian-13,GFDL-1.3; GFDL-1.3+; GPL-2; GPL-2+; GPL-3; GPL-3+; MIT-X-Consortium; no-modification; other; permissive; permissive-long-disclaimer; permissive-short-disclaimer; permissive-without-disclaimer; permissive-without-notices-or-disclaimer,python:latest,2025-10-30T07:57:42Z
Added,automake-1:1.17-4,,1:1.17-4,deb,pkg:deb/debian/automake@1%3A1.17-4?arch=all&distro=debian-13&upstream=automake-1.17,GFDL-1.3; GFDL-NIV-1.3+; GPL-2; GPL-2+; GPL-3; GPL-3+; permissive,python:latest,2025-10-30T07:57:42Z
Added,autotools-dev,,20240727.1,deb,pkg:deb/debian/autotools-dev@20240727.1?arch=all&distro=debian-13,GPL-3,python:latest,2025-10-30T07:57:42Z
Added,base-files,,13.8+deb13u1,deb,pkg:deb/debian/base-files@13.8%2Bdeb13u1?arch=amd64&distro=debian-13,GPL; GPL-2+; verbatim,python:latest,2025-10-30T07:57:42Z
Added,base-passwd,,3.6.7,deb,pkg:deb/debian/base-passwd@3.6.7?arch=amd64&distro=debian-13,GPL-2; public-domain,python:latest,2025-10-30T07:57:42Z
Added,bash-5.2.37-2+b5,,5.2.37-2+b5,deb,pkg:deb/debian/bash@5.2.37-2%2Bb5?arch=amd64&distro=debian-13&upstream=bash%405.2.37-2,BSD-4-clause-UC; GFDL-1.3; GFDL-NIV-1.3; GPL-2; GPL-2+; GPL-3; GPL-3+; Latex2e; MIT-like; permissive,python:latest,2025-10-30T07:57:42Z
Added,binutils-2.44-3,,2.44-3,deb,pkg:deb/debian/binutils@2.44-3?arch=amd64&distro=debian-13,GFDL; GPL; LGPL,python:latest,2025-10-30T07:57:42Z
Added,binutils-common-2.44-3,,2.44-3,deb,pkg:deb/debian/binutils-common@2.44-3?arch=amd64&distro=debian-13&upstream=binutils,GFDL; GPL; LGPL,python:latest,2025-10-30T07:57:42Z
Added,binutils-x86-64-linux-gnu-2.44-3,,2.44-3,deb,pkg:deb/debian/binutils-x86-64-linux-gnu@2.44-3?arch=amd64&distro=debian-13&upstream=binutils,GFDL; GPL; LGPL,python:latest,2025-10-30T07:57:42Z
Added,bsdutils-1:2.41-5,,1:2.41-5,deb,pkg:deb/debian/bsdutils@1%3A2.41-5?arch=amd64&distro=debian-13&upstream=util-linux%402.41-5,BSD-2-clause; BSD-3-clause; BSD-4-clause; BSLA; Expat; GPL-2; GPL-2+; GPL-3; GPL-3+; ISC; LGPL; LGPL-2; LGPL-2+; LGPL-2.1; LGPL-2.1+; LGPL-3; LGPL-3+; public-domain,python:latest,2025-10-30T07:57:42Z
Added,bzip2-1.0.8-6,,1.0.8-6,deb,pkg:deb/debian/bzip2@1.0.8-6?arch=amd64&distro=debian-13,BSD-variant; GPL-2,python:latest,2025-10-30T07:57:42Z
Added,ca-certificates-20250419,,20250419,deb,pkg:deb/debian/ca-certificates@20250419?arch=all&distro=debian-13,GPL-2; GPL-2+; MPL-2.0,python:latest,2025-10-30T07:57:42Z
Added,comerr-dev-2.1-1.47.2-3+b3,,2.1-1.47.2-3+b3,deb,pkg:deb/debian/comerr-dev@2.1-1.47.2-3%2Bb3?arch=amd64&distro=debian-13&upstream=e2fsprogs%401.47.2-3,0BSD; Apache-2; Apache-2.0; BSD-3-Clause; BSD-3-Clause-Variant; BSD-4-Clause-CMU; Expat; GPL; GPL-2; GPL-2+; ISC; Kazlib; LGPL-2; Latex2e,python:latest,2025-10-30T07:57:42Z
Added,coreutils-9.7-3,,9.7-3,deb,pkg:deb/debian/coreutils@9.7-3?arch=amd64&distro=debian-13,BSD-4-clause-UC; FSFULLR; GFDL-1.3; GFDL-NIV-1.3; GPL-3; GPL-3+; ISC,python:latest,2025-10-30T07:57:42Z
Added,cpp-14-14.2.0-19,,14.2.0-19,deb,pkg:deb/debian/cpp-14@14.2.0-19?arch=amd64&distro=debian-13&upstream=gcc-14,Artistic; GFDL-1.2; GPL; GPL-3; LGPL,python:latest,2025-10-30T07:57:42Z
